original_index,stemmed,clean_final
13817,"['turn', 'base']",turn base
13818,"['muas', 'download', 'nyesel', 'ngabisin', 'gb']",muas download nyesel ngabisin gb
13819,"['update', 'kali', 'alami', 'force', 'close', 'battle']",update kali alami force close battle
13820,"['bet', 'cuy', 'gitu']",bet cuy gitu
13821,"['ngefreeze', 'coeg']",ngefreeze coeg
13822,"['anjim', 'napa', 'banner', 'lose', 'bereffort', 'kumpul', 'stellar', 'jade', 'jam']",anjim napa banner lose bereffort kumpul stellar jade jam
13823,[],
13824,"['ratio', 'gratis', 'fek', 'fek']",ratio gratis fek fek
13825,"['bad', 'think', 'need', 'fhd', 'resolution', 'screen', 'wide', 'screen', 'also', 'need', 'high', 'graphic', 'card', 'screen', 'bur', 'hurting', 'eye', 'windows', 'great', 'mobile', 'version']",bad think need fhd resolution screen wide screen also need high graphic card screen bur hurting eye windows great mobile version
13826,[],
13827,"['mihoyo', 'je', 'update', 'penuh']",mihoyo je update penuh
13828,"['perfect', 'update', 'penacony']",perfect update penacony
13829,[],
13830,[],
13831,['umur'],umur
13832,['bansos'],bansos
13833,"['turn', 'base', 'rpg', 'pelit']",turn base rpg pelit
13834,['gokil'],gokil
13835,"['kw', 'mati', 'waifuku', 'badjingan']",kw mati waifuku badjingan
13836,"['baguss', 'cuyy']",baguss cuyy
13837,[],
13838,['bansos'],bansos
13839,['bansosnya'],bansosnya
13840,"['update', 'force', 'close']",update force close
13841,['cool'],cool
13842,['bintang'],bintang
13843,"['nyoba', 'nih', 'puh', 'kah', 'kaya', 'honkai', 'impact']",nyoba nih puh kah kaya honkai impact
13844,[],
13845,[],
13846,[],
13847,"['bug', 'ngeleg', 'salah', 'dialog', 'story', 'penacony', 'ngefreze', 'coba', 'kali', 'ngefreze', 'baik', 'bug']",bug ngeleg salah dialog story penacony ngefreze coba kali ngefreze baik bug
13848,"['bug', 'fix']",bug fix
13849,"['karakter', 'iylah', 'sayang', 'hoyo']",karakter iylah sayang hoyo
13850,['perfect'],perfect
13851,"['firefly', 'apain']",firefly apain
13852,[],
13853,"['suka', 'koleksi', 'istri']",suka koleksi istri
13854,"['iklas', 'karna', 'ku', 'kentang', 'ku', 'libas', 'berat', 'doa', 'moga', 'kentang', 'rezeki', 'upgrade', 'aamiin']",iklas karna ku kentang ku libas berat doa moga kentang rezeki upgrade aamiin
13855,"['pity', 'bs', 'posisi', 'rate', 'woyyyy']",pity bs posisi rate woyyyy
13856,[],
13857,"['rate', 'hero', 'sesuai', 'dapat', 'banner', 'heng', 'il', 'clara', 'kocak']",rate hero sesuai dapat banner heng il clara kocak
13858,"['gensin', 'kikir', 'hehehe']",gensin kikir hehehe
13859,[],
13860,['yosh'],yosh
