original_index,stemmed,clean_final
2275,"['story', 'kembang', 'tarik', 'patch', 'masuk', 'patch', 'cerita', 'kalah', 'tarik', 'mekanik', 'turn', 'based', 'visual', 'animasi', 'character', 'kembang', 'tutup', 'potensi']",story kembang tarik patch masuk patch cerita kalah tarik mekanik turn based visual animasi character kembang tutup potensi
2276,"['yaa', 'yaak', 'nasib', 'komunitas', 'budak', 'meta', 'pdhl', 'compe', 'njirr']",yaa yaak nasib komunitas budak meta pdhl compe njirr
2277,"['developers', 'consider', 'old', 'characters', 'new', 'characters', 'prioritize', 'new', 'characters', 'new', 'characters', 'old', 'characters', 'want', 'shine', 'honkai', 'star', 'want', 'crowded', 'buff', 'old', 'characters', 'buff', 'old', 'characters', 'one', 'thing', 'developers', 'prioritize', 'new', 'characters', 'even', 'players', 'top', 'money', 'still', 'want', 'old', 'characters']",developers consider old characters new characters prioritize new characters new characters old characters want shine honkai star want crowded buff old characters buff old characters one thing developers prioritize new characters even players top money still want old characters
2278,"['suka', 'lore', 'player', 'bosan', 'story', 'questnya', 'mentingin', 'char', 'dialog', 'alhasil', 'ngantuk', 'powercreep', 'benar', 'lov', 'lov', 'moga', 'hoyo', 'dengerin', 'keluh']",suka lore player bosan story questnya mentingin char dialog alhasil ngantuk powercreep benar lov lov moga hoyo dengerin keluh
2279,"['gila', 'gausah', 'peduliin', 'tuh', 'rating', 'b']",gila gausah peduliin tuh rating b
2280,"['papi', 'hoyo', 'rate', 'bintang', 'stellar', 'jades']",papi hoyo rate bintang stellar jades
2281,"['bsgus', 'gara', 'dialog', 'doang', 'cut', 'shene']",bsgus gara dialog doang cut shene
2282,"['want', 'enjoy', 'stay', 'away', 'fandom']",want enjoy stay away fandom
2283,"['banyak', 'cutscene', 'banyak', 'dialog', 'doang', 'bosan', 'player', 'cuman', 'doang', 'tambah', 'event', 'bansos', 'player', 'batas', 'dapatin', 'stellar', 'jade', 'kerja', 'sama', 'dev', 'tim']",banyak cutscene banyak dialog doang bosan player cuman doang tambah event bansos player batas dapatin stellar jade kerja sama dev tim
2284,"['pinter', 'pinter', 'inves', 'arah', 'support', 'btw', 'rating', 'bintang', 'fomo']",pinter pinter inves arah support btw rating bintang fomo
2285,"['plot', 'storynya', 'damage', 'powercreep', 'nggk', 'ngaruh', 'gantung', 'personalitinya', 'atur', 'team', 'gimana']",plot storynya damage powercreep nggk ngaruh gantung personalitinya atur team gimana
2286,"['buat', 'fitur', 'anak']",buat fitur anak
2287,[],
2288,"['sbr', 'tunggu', 'castorice']",sbr tunggu castorice
2289,"['moga', 'karakter', 'limited', 'rate']",moga karakter limited rate
2290,"['fitur', 'skip', 'story', 'karna', 'main', 'kerja', 'main', 'nikmat', 'gameplaynya', 'suka', 'cerita', 'suka', 'bahas', 'cerita', 'komunitas', 'youtube', 'tiktok', 'dll']",fitur skip story karna main kerja main nikmat gameplaynya suka cerita suka bahas cerita komunitas youtube tiktok dll
2291,"['harap', 'batal', 'global', 'passive', 'milik', 'castorice', 'karakter', 'unik', 'tarik', 'main', 'hadir', 'skill', 'tahan', 'originalitas', 'daya', 'tarik', 'versi', 'kecewa', 'komunitas', 'excited', 'dengar']",harap batal global passive milik castorice karakter unik tarik main hadir skill tahan originalitas daya tarik versi kecewa komunitas excited dengar
2292,"['castorice', 'bintang']",castorice bintang
2293,"['nikmatin', 'sesuai', 'mau', 'cape', 'lihat', 'orang', 'ngerating', 'jelek', 'powercreep', 'global', 'passive', 'dll', 'nikmatin', 'suka', 'gausah', 'inti', 'daya', 'tarik', 'rules', 'lihat', 'fandomnya', 'bilang', 'jelek', 'bilang', 'jelek', 'segilintir', 'belah', 'fomo', 'wkwkwkwk', 'gamau', 'toxic', 'ada']",nikmatin sesuai mau cape lihat orang ngerating jelek powercreep global passive dll nikmatin suka gausah inti daya tarik rules lihat fandomnya bilang jelek bilang jelek segilintir belah fomo wkwkwkwk gamau toxic ada
2294,"['orang', 'aneh', 'gamau', 'ngikutin', 'zaman', 'ama', 'baru', 'global', 'passive', 'castorice', 'eh', 'orang', 'dungu', 'gamau', 'ngikutin', 'begitu', 'castorice', 'doang', 'global', 'passive', 'karakter', 'global', 'pasive', 'ngerugiin', 'kecuali', 'orang', 'issue', 'henti', 'k', 'n', 'berfikir', 'kotak']",orang aneh gamau ngikutin zaman ama baru global passive castorice eh orang dungu gamau ngikutin begitu castorice doang global passive karakter global pasive ngerugiin kecuali orang issue henti k n berfikir kotak
2295,"['jomok', 'mcnya', 'konsisten', 'jual', 'waifu', 'jual', 'porno', 'sampe', 'story', 'mc', 'npc', 'fandom', 'public', 'enemy', 'gin']",jomok mcnya konsisten jual waifu jual porno sampe story mc npc fandom public enemy gin
2296,"['peduli', 'global', 'passive', 'apa', 'keluh', 'kesah', 'sekian', 'dasar', 'fandom', 'toxic', 'tabtruman']",peduli global passive apa keluh kesah sekian dasar fandom toxic tabtruman
2297,['fomo'],fomo
2298,['tahan'],tahan
2299,"['hard', 'pity', 'radiance', 'pity']",hard pity radiance pity
2300,[],
2301,"['gara', 'global', 'pasif', 'karakter', 'limited', 'lemah', 'pakai', 'update', 'baru', 'kecewa', 'player']",gara global pasif karakter limited lemah pakai update baru kecewa player
2302,"['tambah', 'fitur', 'skip', 'dialog']",tambah fitur skip dialog
2303,[],
2304,"['know', 'people', 'think', 'really']",know people think really
2305,"['baik', 'hard', 'pitg', 'twlah']",baik hard pitg twlah
2306,['tidur'],tidur
2307,['bansos'],bansos
2308,['bug'],bug
2309,"['karakter', 'bener', 'bener', 'tulang', 'punggung', 'tim', 'kali', 'ulti', 'langsung', 'musuh', 'gemeter', 'desain', 'elegan', 'skill', 'mati', 'aura', 'tuh', 'lawan']",karakter bener bener tulang punggung tim kali ulti langsung musuh gemeter desain elegan skill mati aura tuh lawan
2310,['bettttt'],bettttt
2311,"['jual', 'karakter', 'power', 'creep', 'gila']",jual karakter power creep gila
2312,"['baik', 'sakarang']",baik sakarang
2313,"['much', 'keep']",much keep
2314,"['banyak', 'mondar', 'mandir', 'map', 'ngantuk', 'jalan', 'auto', 'quest']",banyak mondar mandir map ngantuk jalan auto quest
2315,"['banyak', 'rating', 'b', 'tau', 'komen']",banyak rating b tau komen
2316,"['masalah', 'powercreep', 'karna', 'bansos', 'tingkat', 'job', 'hoyo']",masalah powercreep karna bansos tingkat job hoyo
2317,"['ikut', 'fomo', 'spam', 'mending', 'nguli', 'ae', 'f', 'p']",ikut fomo spam mending nguli ae f p
2318,"['sayang', 'playernya', 'banyak', 'drama', 'sdh', 'free', 'mau']",sayang playernya banyak drama sdh free mau
2319,"['fomo', 'rating']",fomo rating
2320,['nikmatin'],nikmatin
2321,"['nikmatin', 'aj', 'gaperlu', 'manusia', 'fomo']",nikmatin aj gaperlu manusia fomo
2322,"['skip', 'dialog', 'panjangin']",skip dialog panjangin
2323,"['fandom', 'tukang', 'fitnah', 'sok', 'bersih', 'ngatain', 'fandom', 'gi', 'ww', 'ngerate', 'b', 'mah', 'fandom', 'ngerate']",fandom tukang fitnah sok bersih ngatain fandom gi ww ngerate b mah fandom ngerate
2324,"['fun', 'enak', 'samping', 'bosan']",fun enak samping bosan
2325,"['tau', 'overall', 'karakter', 'liris', 'hujat', 'karakter', 'liris', 'ubah', 'karakter', 'ngikutin', 'meta', 'enak', 'meta', 'enak', 'coba', 'global', 'passiv', 'uni', 'karakter', 'f', 'p']",tau overall karakter liris hujat karakter liris ubah karakter ngikutin meta enak meta enak coba global passiv uni karakter f p
2326,"['trims', 'mihoyo', 'tlah', 'char', 'tjkep', 'sprti', 'aventurine', 'ily', 'mamang', 'hoyo', 'bismillah', 'menang', 'rate']",trims mihoyo tlah char tjkep sprti aventurine ily mamang hoyo bismillah menang rate
2327,"['npc', 'hsr', 'hidup', 'beda', 'beda', 'developer', 'memeberikan', 'gacha', 'gratis']",npc hsr hidup beda beda developer memeberikan gacha gratis
2328,[],
2329,"['bad', 'bug']",bad bug
2330,"['powercreep', 'gila']",powercreep gila
2331,"['suka', 'firefly']",suka firefly
2332,"['turn', 'base', 'lumayan', 'main', 'story', 'power', 'creep', 'inflasi', 'musuh', 'karakter', 'main']",turn base lumayan main story power creep inflasi musuh karakter main
2333,"['stuck', 'loading', 'screen', 'periksa', 'update', 'data']",stuck loading screen periksa update data
2334,['bangettt'],bangettt
2335,"['fomo', 'fomo']",fomo fomo
2336,[],
2337,"['kali', 'pra', 'unduh', 'data', 'next', 'patch', 'tambah', 'simpan', 'data', 'aplikasi', 'lucu', 'lelah', 'unduh', 'kali', 'kali', 'biar', 'data', 'normal', 'fix']",kali pra unduh data next patch tambah simpan data aplikasi lucu lelah unduh kali kali biar data normal fix
2338,[],
2339,['bguss'],bguss
2340,"['powercreep', 'inflasi', 'kondisi', 'manis']",powercreep inflasi kondisi manis
2341,"['global', 'passive', 'dipermasalahin', 'cuman', 'turn', 'base', 'kompe']",global passive dipermasalahin cuman turn base kompe
2342,"['tambah', 'fitur', 'nikah', 'ama', 'furina']",tambah fitur nikah ama furina
2343,"['struktur', 'rapih', 'story', 'design', 'char', 'unik', 'monoton', 'kurang', 'dialog', 'end', 'konten', 'mudah', 'gagal', 'kali', 'kali', 'mudah', 'player', 'selesai', 'konten', 'tsb', 'moga', 'buff', 'char', 'optimalisasi', 'saing', 'char', 'hadir', 'sisa', 'bansos', 'developer', 'ramah', 'f', 'p', 'hoyo']",struktur rapih story design char unik monoton kurang dialog end konten mudah gagal kali kali mudah player selesai konten tsb moga buff char optimalisasi saing char hadir sisa bansos developer ramah f p hoyo
2344,"['booring', 'ganti', 'patch', 'quest', 'booring']",booring ganti patch quest booring
2345,"['dukung', 'apa', 'develoment', 'kembang']",dukung apa develoment kembang
2346,"['overall', 'kecuali', 'black', 'screen', 'story', 'sistem', 'powercreep', 'pikir', 'dn', 'salahin', 'global', 'pasif', 'lo', 'alay', 'bro', 'norak']",overall kecuali black screen story sistem powercreep pikir dn salahin global pasif lo alay bro norak
2347,"['storynya', 'boring', 'bsa', 'skip', 'malas']",storynya boring bsa skip malas
2348,"['panjang', 'dialog']",panjang dialog
2349,"['ngandalin', 'damage', 'damage', 'story']",ngandalin damage damage story
2350,[],
2351,[],
2352,"['yapping', 'tuk', 'player', 'niat']",yapping tuk player niat
2353,"['hilangin', 'efek', 'global', 'passive', 'ubah', 'passive', 'tim']",hilangin efek global passive ubah passive tim
2354,"['powercreep', 'inflasi', 'ngebut', 'sedih', 'lihat', 'char', 'sampah', 'pakai']",powercreep inflasi ngebut sedih lihat char sampah pakai
2355,"['save', 'cassy']",save cassy
2356,"['update', 'amphreous', 'berat', 'gakpapa']",update amphreous berat gakpapa
2357,"['storynya', 'tarik', 'grafik', 'detail', 'saking', 'bagus', 'sampe', 'patah']",storynya tarik grafik detail saking bagus sampe patah
2358,['trash'],trash
2359,[],
2360,[],
2361,"['hsr', 'milik', 'story', 'tarik', 'ikut', 'side', 'story', 'tarik', 'harap', 'sedia', 'fitur', 'tombol', 'skip', 'dialog', 'story', 'puas', 'player', 'suka', 'side', 'story', 'player', 'nikmat', 'storynya', 'ganggu', 'beri', 'konten', 'end', 'moc', 'pure', 'fiction', 'apocalyptic', 'shadow', 'kendala']",hsr milik story tarik ikut side story tarik harap sedia fitur tombol skip dialog story puas player suka side story player nikmat storynya ganggu beri konten end moc pure fiction apocalyptic shadow kendala
2362,"['bosan', 'story', 'pajang', 'berat', 'paham', 'karakter', 'kalah', 'saing', 'karakter', 'pakai']",bosan story pajang berat paham karakter kalah saing karakter pakai
2363,"['char', 'bagus', 'animasi', 'ultimate']",char bagus animasi ultimate
2364,"['ikut', 'ahh', 'biar', 'rating', 'turun', 'developer', 'panik', 'dengar', 'keluh', 'kesah', 'warga']",ikut ahh biar rating turun developer panik dengar keluh kesah warga
2365,"['overall', 'tambah', 'fitur', 'skip', 'story', 'hehe']",overall tambah fitur skip story hehe
2366,"['hapus', 'store', 'woi']",hapus store woi
2367,"['segi', 'grafis', 'desain', 'char', 'story', 'tp', 'nyaman', 'mai', 'inflasi', 'musuh', 'akun', 'hoki', 'gachan', 'charnya', 'lumayan', 'hoki', 'beda', 'main', 'genshin', 'hoki', 'saran', 'depan', 'mudah', 'puzzle', 'susah']",segi grafis desain char story tp nyaman mai inflasi musuh akun hoki gachan charnya lumayan hoki beda main genshin hoki saran depan mudah puzzle susah
2368,"['salah', 'turn', 'based', 'baik', 'segi', 'animasi', 'mekanik', 'opinion']",salah turn based baik segi animasi mekanik opinion
2369,"['power', 'creep', 'global', 'passive', 'doang', 'ngamuk', 'gara', 'global', 'passive', 'mending', 'diem', 'lo', 'bikin', 'komunitas', 'hsr', 'genshin', 'spam', 'bintang', 'ges']",power creep global passive doang ngamuk gara global passive mending diem lo bikin komunitas hsr genshin spam bintang ges
2370,"['sakit', 'powercreep', 'gila']",sakit powercreep gila
2371,"['asik', 'kasual']",asik kasual
2372,"['mampus', 'discord', 'wuwa', 'asik', 'bom', 'rating', 'hoyoshit', 'wkwkwkwk']",mampus discord wuwa asik bom rating hoyoshit wkwkwkwk
2373,"['neng', 'story']",neng story
2374,"['suka', 'karakter', 'populer', 'story']",suka karakter populer story
2375,"['rpg', 'suka', 'ku']",rpg suka ku
2376,"['bintang', 'bilang', 'klen', 'skill', 'issue', 'nyaman', 'nyoba', 'powercreepnya', 'kenceng', 'char', 'bannernya', 'keep', 'klen', 'beneran', 'build', 'char', 'bs', 'keep', 'ama', 'powercreepnya', 'ngeluh', 'doang', 'beda', 'ama', 'kk', 'adeknya', 'beda', 'konsep', 'ama', 'ngeluh', 'jnck', 'f', 'p', 'ttp', 'bs', 'keep', 'ama', 'ajg']",bintang bilang klen skill issue nyaman nyoba powercreepnya kenceng char bannernya keep klen beneran build char bs keep ama powercreepnya ngeluh doang beda ama kk adeknya beda konsep ama ngeluh jnck f p ttp bs keep ama ajg
2377,"['power', 'creepnya', 'full', 'star', 'content']",power creepnya full star content
2378,"['gapapa', 'hujat', 'kala', 'ad', 'keep', 'strong']",gapapa hujat kala ad keep strong
2379,[],
2380,['waifu'],waifu
2381,"['hoyo', 'player', 'nikmat', 'story', 'diam', 'bintang', 'santai']",hoyo player nikmat story diam bintang santai
2382,"['simple', 'enjoy', 'give', 'damn', 'iflation', 'problem']",simple enjoy give damn iflation problem
2383,"['suka', 'sakit', 'powercreep', 'gila']",suka sakit powercreep gila
2384,"['lelah', 'gacha']",lelah gacha
2385,"['nyesel', 'download']",nyesel download
2386,"['bintang', 'global', 'passive', 'tuh', 'build', 'issue', 'mudah', 'gin', 'rugi', 'global', 'passive', 'gitu', 'bot', 'bilang']",bintang global passive tuh build issue mudah gin rugi global passive gitu bot bilang
2387,"['update', 'versi', 'baru', 'tingkat', 'kurang', 'puzzle', 'black', 'screen', 'story', 'fokus', 'story', 'banyak', 'cutscene', 'global', 'passive', 'bbrp', 'orang', 'bantu', 'libas', 'konten', 'endgame', 'masalah', 'inflation', 'balance']",update versi baru tingkat kurang puzzle black screen story fokus story banyak cutscene global passive bbrp orang bantu libas konten endgame masalah inflation balance
2388,"['sakit', 'powercreep', 'gila']",sakit powercreep gila
2389,"['trash', 'community']",trash community
2390,"['orang', 'orang', 'suka', 'global', 'passive', 'skill', 'issue']",orang orang suka global passive skill issue
2391,"['segi', 'banyak', 'cutscene', 'story', 'variasi']",segi banyak cutscene story variasi
2392,"['kecewa', 'akira', 'kiyosumi']",kecewa akira kiyosumi
2393,['hadeuhhh'],hadeuhhh
2394,"['power', 'creep']",power creep
2395,['tahan'],tahan
2396,"['global', 'pasive']",global pasive
2397,[],
2398,"['stop', 'guys', 'sayang', 'sayang']",stop guys sayang sayang
2399,[],
2400,"['discouraged', 'hsr']",discouraged hsr
2401,"['tinggal', 'char', 'pakai', 'ayo', 'balancing', 'charnya', 'paksa', 'gacha', 'build', 'char', 'baru']",tinggal char pakai ayo balancing charnya paksa gacha build char baru
2402,"['playing', 'long', 'time', 'often', 'top', 'since', 'new', 'update', 'getting', 'weirder', 'power', 'creep', 'inflation', 'sense', 'also', 'global', 'passive', 'seems', 'force', 'players', 'gacha', 'new', 'characters', 'complete', 'endgame', 'story', 'effect', 'old', 'characters', 'longer', 'used', 'story', 'long', 'winded', 'black', 'screen', 'yapping', 'boring', 'add', 'skip', 'fitures']",playing long time often top since new update getting weirder power creep inflation sense also global passive seems force players gacha new characters complete endgame story effect old characters longer used story long winded black screen yapping boring add skip fitures
2403,['bang'],bang
2404,"['hapus', 'global', 'pasif', 'castorice']",hapus global pasif castorice
2405,"['powercreep', 'gada', 'rilis', 'char', 'bintang', 'rekomen']",powercreep gada rilis char bintang rekomen
2406,"['ikut', 'bintang']",ikut bintang
2407,"['kalini', 'jenis', 'persona', 'online', 'senang', 'plz', 'sampe', 'ilang']",kalini jenis persona online senang plz sampe ilang
2408,"['stop', 'spam', 'bintang', 'jir', 'segitunya', 'gasuka', 'global', 'passive', 'sampe', 'spam', 'bintang', 'suka', 'gausah', 'pull', 'kocak', 'gabakal', 'ngerugiin', 'benci', 'global', 'passive']",stop spam bintang jir segitunya gasuka global passive sampe spam bintang suka gausah pull kocak gabakal ngerugiin benci global passive
2409,"['bintang', 'fitur', 'nikah', 'ama', 'sparkle']",bintang fitur nikah ama sparkle
2410,"['powercreep', 'inflation', 'b', 'tbtb', 'muncul', 'global', 'passive', 'komplain', 'hehe']",powercreep inflation b tbtb muncul global passive komplain hehe
2411,"['gausah', 'peduliin', 'global', 'pasive', 'leee']",gausah peduliin global pasive leee
2412,"['gaterlalu', 'peduli', 'nama', 'global', 'passive', 'yappingnya', 'rangin', 'blackscreen', 'rangin', 'cutscenenya', 'powercreep', 'gantung', 'build', 'karakter']",gaterlalu peduli nama global passive yappingnya rangin blackscreen rangin cutscenenya powercreep gantung build karakter
2413,[],
2414,"['fiks', 'protes', 'global', 'passive', 'stellar', 'jade', 'gacha', 'cassie']",fiks protes global passive stellar jade gacha cassie
2415,"['big', 'global', 'passive', 'remove', 'need', 'hoyo', 'said', 'global', 'passive', 'adding', 'char', 'future']",big global passive remove need hoyo said global passive adding char future
2416,"['hsr', 'jaya', 'suram', 'saran', 'fokus', 'character', 'orang', 'suka', 'character', 'tbs']",hsr jaya suram saran fokus character orang suka character tbs
2417,"['desain', 'character']",desain character
2418,"['berkomenta', 'dj', 'jelasin']",berkomenta dj jelasin
2419,"['karakter', 'b', 'b', 'power', 'creep', 'global', 'pasive', 'bagi', 'global', 'pasive', 'karakter', 'anniversary', 'karakter', 'hsr', 'b', 'global', 'pasive', 'new', 'player', 'susah', 'bintang']",karakter b b power creep global pasive bagi global pasive karakter anniversary karakter hsr b global pasive new player susah bintang
2420,[],
2421,"['jujur', 'patch', 'f', 'p', 'mnrt', 'enak', 'story', 'masterpiece', 'kalah', 'rate', 'welt', 'banner', 'sw', 'kali', 'rilis', 'total', 'pull', 'naikin', 'level', 'lt', 'ssh', 'tp', 'nyerah', 'skrng', 'akun', 'pny', 'team', 'superbreak', 'prem', 'acheron', 'hypercarry', 'feixiao', 'hypercarry', 'sebentar', 'castorice', 'hypercarry', 'inti', 'nge', 'rate', 'skill', 'issue', 'build', 'issue', 'fomo', 'f', 'p', 'syukur', 'bansos', 'ngelunjak']",jujur patch f p mnrt enak story masterpiece kalah rate welt banner sw kali rilis total pull naikin level lt ssh tp nyerah skrng akun pny team superbreak prem acheron hypercarry feixiao hypercarry sebentar castorice hypercarry inti nge rate skill issue build issue fomo f p syukur bansos ngelunjak
2422,"['update', 'aneh']",update aneh
2423,"['ngehargain', 'buat', 'fomo', 'doang']",ngehargain buat fomo doang
2424,"['tambah', 'undertaker', 'wwe', 'biar', 'nonjok', 'muka', 'kau']",tambah undertaker wwe biar nonjok muka kau
2425,"['fitur', 'telanj', 'maksud', 'jelek', 'balance', 'powercrep', 'gila']",fitur telanj maksud jelek balance powercrep gila
2426,"['visual', 'animasi', 'ultinya', 'satisfying', 'turn', 'based', 'combat', 'ngebosenin', 'cocok', 'main', 'kasual', 'hardcore']",visual animasi ultinya satisfying turn based combat ngebosenin cocok main kasual hardcore
2427,"['kembang', 'cut', 'sense', 'action', 'genshin', 'hi', 'character', 'tambah', 'gallagher', 'inflation', 'power', 'creep']",kembang cut sense action genshin hi character tambah gallagher inflation power creep
2428,[],
2429,['sukses'],sukses
2430,"['honestly', 'really', 'even', 'though', 'device', 'still', 'apply', 'global', 'passive', 'many', 'characters', 'future', 'players', 'forced', 'get', 'characters', 'keep', 'meta']",honestly really even though device still apply global passive many characters future players forced get characters keep meta
2431,"['b', 'org', 'bodoh', 'bin', 'tolol', 'kentang', 'dompet', 'kentang']",b org bodoh bin tolol kentang dompet kentang
2432,"['segi', 'asik', 'ndak', 'ku', 'harga', 'baik', 'seru', 'kompetitif', 'nyantai', 'mudah', 'bansos', 'inti']",segi asik ndak ku harga baik seru kompetitif nyantai mudah bansos inti
2433,"['story', 'characters']",story characters
2434,"['honkai', 'star', 'rail', 'bener', 'bener', 'kualitas', 'visual', 'cakep', 'jalan', 'cerita', 'karakter', 'karakter', 'pribadi', 'betah', 'update', 'rutin', 'ngebosenin', 'cocok', 'suka', 'rpg', 'alur', 'cerita', 'kuat']",honkai star rail bener bener kualitas visual cakep jalan cerita karakter karakter pribadi betah update rutin ngebosenin cocok suka rpg alur cerita kuat
2435,['suka'],suka
2436,"['dev', 'malas', 'mekanik', 'tuh', 'pake', 'otak', 'naikin', 'doang', 'gedein', 'dmg', 'karakter', 'doang', 'rampok', 'duit', 'player', 'doang', 'nyumbang', 'review', 'b', 'dukung', 'tolak', 'global', 'passive']",dev malas mekanik tuh pake otak naikin doang gedein dmg karakter doang rampok duit player doang nyumbang review b dukung tolak global passive
2437,"['rada', 'kasihan', 'lihat', 'ratingnya', 'turun', 'banget', 'tega', 'nikmat', 'storynya', 'deh', 'dr', 'pd', 'musingin', 'moga', 'keluh', 'player', 'atas']",rada kasihan lihat ratingnya turun banget tega nikmat storynya deh dr pd musingin moga keluh player atas
2438,"['favorite', 'ku', 'mihoyo', 'tarik', 'bosan', 'karna', 'event', 'event', 'updatenya', 'rilis', 'kecewa', 'sistem', 'global', 'pasif', 'fitur', 'mihoyo']",favorite ku mihoyo tarik bosan karna event event updatenya rilis kecewa sistem global pasif fitur mihoyo
2439,"['stumble', 'guys']",stumble guys
2440,"['b', 'fomo']",b fomo
2441,"['adakan', 'sistem', 'co', 'op', 'biar', 'lawan', 'boss', 'player', 'susah']",adakan sistem co op biar lawan boss player susah
2442,"['lawak', 'tinggal', 'gacha', 'nikmatin', 'story', 'ribet', 'gacha', 'cil']",lawak tinggal gacha nikmatin story ribet gacha cil
2443,[],
2444,['kikir'],kikir
2445,"['dukung', 'spam', 'b', 'player', 'f', 'p', 'modal', 'fomo', 'iri', 'bilang', 'imbang', 'beda', 'cari', 'benci']",dukung spam b player f p modal fomo iri bilang imbang beda cari benci
2446,"['banyak', 'hadiah', 'stellar', 'jade', 'event', 'event', 'lupa', 'karakter', 'keluarin', 'patch']",banyak hadiah stellar jade event event lupa karakter keluarin patch
2447,"['desain', 'karakter', 'storynya', 'epic', 'powercreep', 'karakter', 'patch', 'guna', 'ku', 'guna', 'ngebulid', 'maks', 'dmg', 'engga', 'karakter', 'puluh', 'juta', 'lebih', 'grafik', 'kadang', 'ngelag', 'cutscene', 'ngelag', 'device', 'ku']",desain karakter storynya epic powercreep karakter patch guna ku guna ngebulid maks dmg engga karakter puluh juta lebih grafik kadang ngelag cutscene ngelag device ku
2448,['kikir'],kikir
2449,"['b', 'kebanyakn', 'fomo']",b kebanyakn fomo
2450,"['bnyak', 'karakter', 'rilis']",bnyak karakter rilis
2451,"['powercreep', 'gilaaa']",powercreep gilaaa
2452,"['powercreep', 'gila']",powercreep gila
2453,"['rate', 'b', 'fomo', 'skill', 'issue', 'build', 'issue', 'global', 'passive', 'doang', 'hoyo', 'bansos', 'gila', 'bet', 'luocha', 'ruan', 'mei', 'pull']",rate b fomo skill issue build issue global passive doang hoyo bansos gila bet luocha ruan mei pull
2454,['fav'],fav
2455,"['player', 'release', 'kecewa', 'powercreepnya', 'akal', 'akal', 'character', 'ganti', 'event', 'dikit', 'eventnya', 'character', 'rerun', 'sama', 'player', 'suka', 'free', 'lihat', 'character', 'cowok', 'daritadi', 'nerf', 'mulu', 'character', 'cewek', 'meta', 'character', 'bintang', 'baru', 'musuh', 'update', 'hoyo', 'treat', 'player', 'adil']",player release kecewa powercreepnya akal akal character ganti event dikit eventnya character rerun sama player suka free lihat character cowok daritadi nerf mulu character cewek meta character bintang baru musuh update hoyo treat player adil
2456,['hati'],hati
2457,['powercreep'],powercreep
2458,"['gilgamesh', 'kau', 'janji']",gilgamesh kau janji
2459,"['ngerusak', 'dompet', 'ngerusak', 'mental', 'time', 'wasting', 'new', 'character', 'milking']",ngerusak dompet ngerusak mental time wasting new character milking
2460,"['rangin', 'layar', 'hitam']",rangin layar hitam
2461,[],
2462,"['sakit', 'power', 'creep', 'gila', 'konten', 'butuh', 'kelarin', 'kaya', 'du', 'contoh', 'su', 'baru', 'males', 'clear', 'time', 'gitu']",sakit power creep gila konten butuh kelarin kaya du contoh su baru males clear time gitu
2463,"['hsr', 'santai', 'battle', 'auto', 'rank', 'biar', 'laku', 'powercreep', 'tingkat', 'musuh', 'gede', 'harus', 'player', 'gacha', 'char', 'patch', 'fs', 'moc', 'ngikutin', 'meta', 'yaudah', 'gacha', 'waifu', 'husbunya', 'ngelunjak', 'developer', 'skill', 'issues', 'gacha', 'character', 'f', 'p', 'salah', 'elo', 'katain', 'skill', 'issues', 'b', 'kocak']",hsr santai battle auto rank biar laku powercreep tingkat musuh gede harus player gacha char patch fs moc ngikutin meta yaudah gacha waifu husbunya ngelunjak developer skill issues gacha character f p salah elo katain skill issues b kocak
2464,[],
2465,"['power', 'creep', 'parah', 'cerita', 'mgebosenin']",power creep parah cerita mgebosenin
2466,[],
2467,"['fitur', 'skip']",fitur skip
2468,"['kasih', 'global', 'passive', 'ngeluh', 'issue', 'disalahin', 'luck', 'issue', 'disalahin', 'heran', 'lihat', 'warga', 'ig', 'dongo']",kasih global passive ngeluh issue disalahin luck issue disalahin heran lihat warga ig dongo
2469,[],
2470,"['story', 'desain', 'character', 'lee', 'bansos', 'rating', 'bintang', 'fomo', 'skill', 'issue', 'global', 'passive', 'doang', 'b', 'besok', 'update', 'patch', 'char', 'gratis', 'hoyo']",story desain character lee bansos rating bintang fomo skill issue global passive doang b besok update patch char gratis hoyo
2471,[],
2472,"['greedy', 'nih', 'whaler', 'player', 'f', 'p', 'sengsara']",greedy nih whaler player f p sengsara
2473,['ramah'],ramah
2474,['sukak'],sukak
2475,['rusak'],rusak
2476,"['bintang', 'dri', 'segi', 'cerita', 'loh']",bintang dri segi cerita loh
2477,"['bug', 'freeze', 'lag']",bug freeze lag
2478,"['buset', 'rate', 'rate', 'bintang', 'fomo', 'bikin', 'gin', 'salah', 'kasih', 'enak', 'salah', 'kasih', 'salah', 'tinggal', 'skip', 'susah']",buset rate rate bintang fomo bikin gin salah kasih enak salah kasih salah tinggal skip susah
2479,"['bintang', 'fomo', 'kntl']",bintang fomo kntl
2480,"['inflation', 'pakai', 'heng', 'il', 'e', 'ku', 'meta', 'meta', 'cewek', 'mulu', 'keluar', 'chara', 'cowok', 'meta', 'napa', 'b']",inflation pakai heng il e ku meta meta cewek mulu keluar chara cowok meta napa b
2481,[],
2482,['santai'],santai
2483,"['moga', 'atas', 'powercreep', 'baek']",moga atas powercreep baek
2484,"['bodoamat', 'suka']",bodoamat suka
