original_index,cleaned,normalized
65,peak animation cutscene keren character di cutscene cantik banget pokoknya keren banget firstime main game ini gua kira bakal ngantuk ternyata malah ketagihan storynya keren banget,peak animation cutscene keren character di cutscene cantik sekali pokoknya keren sekali firstime main game ini gua kira bakal ngantuk ternyata malah ketagihan storynya keren sekali
66,powercreep,powercreep
67,game nya bagus cuman kurang fitur bikin anak,game nya bagus cuman kurang fitur buat anak
68,mantap,mantap
69,tolong jangan kalah teruss plisss,tolong jangan kalah teruss please
70,plis hoyo tambahanin fitur bikin kencan nikah ama bikin anak,please hoyo tambahanin fitur buat kencan nikah ama buat anak
71,saya suka dengan game nya namun memang gak bisa bagus game nya karena sistem hp inflation nya yang gila kali cuk jadi nya terkesan maksa untuk ikut meta seiring update jadi nya malas,saya suka dengan game nya namun memang tidak bisa bagus game nya karena sistem hp inflation nya yang gila kali cuk jadi nya terkesan maksa untuk ikut meta seiring update jadi nya malas
72,best gacha game,best gacha game
73,update nya sangat lama ya,update nya sangat lama ya
74,thanks game baik,thanks game baik
75,powercreap gila banyakin lagi animasi interaksi kayak zzz tambahin capturing kayak genshin,powercreap gila perbanyak lagi animasi interaksi seperti zzz tambahkan capturing seperti genshin
76,bagus,bagus
77,masalah game ini menurut ku cuma powercreep,masalah game ini menurut ku cuma powercreep
78,buat yang main game demi cerita honkai star rail tuh juara alurnya dibangun rapi karakter karakternya punya konflik dan kedalaman yang bikin relate tiap bab terasa bermakna nggak cuma jadi latar buat battle kadang bikin mikir kadang bikin diam ini bukan sekadar game tapi pengalaman cerita yang ngena,buat yang main game demi cerita honkai star rail tuh juara alurnya dibangun rapi karakter karakternya punya konflik dan kedalaman yang buat relate tiap bab terasa bermakna tidak cuma jadi latar buat battle kadang buat mikir kadang buat diam ini bukan sekadar game tapi pengalaman cerita yang ngena
79,gamenya bagus story dan grafiknya keren optimalisasinya juga lumayan sayangnya game ini susah nyari relic yang bagus alhasil beberapa char ada yang kurang ter build dengan baik dan gacha ampas banget njirrr,game nya bagus story dan grafiknya keren optimalisasinya juga lumayan sayangnya game ini susah mencari relic yang bagus alhasil beberapa char ada yang kurang ter build dengan baik dan gacha ampas sekali njirrr
80,menurut saya gamenya bagus gak pelit ramah pemula dan gak bosenin saran buat developer tolong masukin nikador ke echo war biar seru terus sama buff boss sunday soalnya lemah bangat tuh bos padahal desainnya udah keren minimal bos sundaynya kuatin tingkatin toughnessnya biar gak gampang kena weakness break tambahin variasi serangannya sama spd nya biar pas hari ke resonansi sama order saat kena weakness break gak harus nunggu lama lama buat bossnya bangkit lagi lebih menantang,menurut saya game nya bagus tidak pelit ramah pemula dan tidak membuat bosan saran buat developer tolong masukin nikador ke echo war biar seru terus sama buff boss sunday soalnya lemah bangat tuh bos padahal desainnya sudah keren minimal bos sundaynya kuatin tingkatin toughnessnya biar tidak mudah kena weakness break tambahkan variasi serangannya sama spd nya biar ketika hari ke resonansi sama order saat kena weakness break tidak harus menunggu lama lama buat bossnya bangkit lagi lebih menantang
81,seru tambah kan fitur hapus cerita tambahan,seru tambah kan fitur hapus cerita tambahan
