original_index,cleaned,normalized
13485,trash relic error login,trash relic error login
13486,bansos on top,bansos on top
13487,hey hey kenapa musuh bisa menyerang terus menerus kenapa karakter yang kupakai terkena efek tidak bisa bergerak bukankah musuhnya terlalu tidak masuk akal tolong perbaiki kesulitan game ini,hey hey kenapa musuh bisa menyerang terus menerus kenapa karakter yang kupakai terkena efek tidak bisa bergerak bukankah musuhnya terlalu tidak masuk akal tolong perbaiki kesulitan game ini
13488,makasih hoyo full bansos,terima kasih hoyo full bansos
13489,game anjink,game anjink
13490,ketika loe miskin lalu bermain honkai star rail loe dikasi air dikasi makanan kemudian loe lupa kalo loe itu miskin ketika loe miskin lalu bermain honkai impact loe dikasi air dikasi makanan kemudian loe sadar kenapa loe miskin ketika loe miskin lalu bermain genshin impact loe tidak dikasi air tidak dikasi makanan malah dikasi cerita,ketika loe miskin lalu bermain honkai star rail loe dikasi air dikasi makanan kemudian loe lupa kalau loe itu miskin ketika loe miskin lalu bermain honkai impact loe dikasi air dikasi makanan kemudian loe sadar kenapa loe miskin ketika loe miskin lalu bermain genshin impact loe tidak dikasi air tidak dikasi makanan malah dikasi cerita
13491,sebelum masuk ke game download gb setelah masuk download lagi gb gila,sebelum masuk ke game download gb setelah masuk download lagi gb gila
13492,permisi ada alasan mengapa saya memberi bintang hal ini dikarenakan adanya bug yang dimana setelah saya mendapatkan karakter bintang bailu dan mencoba trial saat di pilihan karakter karakter bintang bailu tidak ada disana saya sangat mohon untuk pihak honkai star rail dapat merespon agar player lain tidak mengalami hal yang sama terimakasih,permisi ada alasan mengapa saya memberi bintang hal ini dikarenakan adanya bug yang dimana setelah saya mendapatkan karakter bintang bailu dan mencoba trial saat di pilihan karakter karakter bintang bailu tidak ada disana saya sangat mohon untuk pihak honkai star rail dapat merespon agar player lain tidak mengalami hal yang sama terimakasih
13493,game baik,game baik
13494,gameplay nya simple dan asik,game play nya simple dan asik
13495,its good but my phone is bouta bust,its good but my phone is bouta bust
13496,lawannya susah bener kayak gak selevel sama char kita,lawannya susah bener seperti tidak selevel sama char kita
13497,setelah dapet kafka langsung pensiun gamenya bagus oke yang penting gk kikir kayak sebelah,setelah dapat kafka langsung pensiun game nya bagus oke yang penting tidak kikir seperti sebelah
13498,bagus,bagus
13499,bagus tapi optimalkan untuk android karena force close terlalu bikin hp panas,bagus tapi optimalkan untuk android karena force close terlalu buat hp panas
13500,gak bisa dimain di hape gua karena peke imel,tidak bisa dimain di hape gua karena peke imel
13501,sehat sehat ya game baik,sehat sehat ya game baik
13502,,
13503,suka keluar sendiri pass mau war tolong di tingkatkan lagi biar engga keluar mulu,suka keluar sendiri pass mau war tolong di tingkatkan lagi biar engga keluar mulu
13504,kafka bagus,kafka bagus
13505,game ini terlalu baik jaya terus game baik,game ini terlalu baik jaya terus game baik
13506,akunsaya sudahpenuh tagmampu menerima gambarlagi,akunsaya sudahpenuh tagmampu menerima gambarlagi
13507,game baik,game baik
13508,login aja masih eror ngabisin kuota aja,login saja masih eror ngabisin kuota saja
13509,game rusak udah habis gb buat download entry malah stuck di layar gambar kereta doang,game rusak sudah habis gb buat download entry malah stuck di layar gambar kereta doang
13510,masyaallah tabarakallah sehat sehat gem baik,masyaallah tabarakallah sehat sehat game baik
13511,game baik,game baik
13512,disuruh download terus tiap mau login udah mana download nya ga kecil mb aneh padahal udah ke download semua dan udah gb,disuruh download terus tiap mau login sudah mana download nya tidak kecil mb aneh padahal sudah ke download semua dan sudah gb
13513,terimakasih hoyo telah membuat karakter secantik acheron terimakasih game baik,terimakasih hoyo telah membuat karakter secantik acheron terimakasih game baik
13514,iklannya gini amat beda sama kakaknya,iklannya gini amat beda sama kakaknya
13515,grafik bagus cerita ngak bosan hpku mati total karna bug,grafik bagus cerita tidak bosan hpku mati total karna bug
13516,sorry bosen,sorry bosan
13517,saat melakukan banyak hal benda tersebut tidak ada saat explorasi dinding dan lantai hilang tolong di betulkan hal hal tersebut sampai aku gak sanggup main,saat melakukan banyak hal benda tersebut tidak ada saat explorasi dinding dan lantai hilang tolong di betulkan hal hal tersebut sampai aku tidak sanggup main
13518,burik,burik
13519,keren anjay walaupun ngelag d hp gw,keren anjay walaupun ngelag d hp saya
13520,opsional,opsional
13521,mantap bnyak bansos cuyy walaupun storynya sad tpi ga kya sebeleh qiqir impact,mantap bnyak bansos cuyy walaupun storynya sad tapi tidak kya sebeleh qiqir impact
13522,game rpg terseru btw udah pada dapat danheng il,game rpg terseru btw sudah pada dapat danheng il
13523,why you kill firefly give back firefly,why you kill firefly give back firefly
13524,love love game baik,love love game baik
13525,game baik,game baik
13526,seru story nya,seru story nya
13527,terima kasih game baik,terima kasih game baik
13528,game ramah f p terlebih lagi puzzle yang asik gameplay yang menarik graphic resolusi gameplay cutscenennya memanjakan mata i like this game dan juga jalan cerita yang sangat seru,game ramah f p terlebih lagi puzzle yang asik game play yang menarik graphic resolusi game play cutscenennya memanjakan mata i like this game dan juga jalan cerita yang sangat seru
13529,game baik,game baik
13530,panjang umur game baik,panjang umur game baik
13531,hp ram gb kuat ga min,hp ram gb kuat tidak min
13532,aku suka banget sama gamenya tapi sekarang kok jadi sering force close,aku suka sekali sama game nya tapi sekarang kok jadi sering force close
13533,kapan rerun luocha anjeng,kapan rerun luocha anjeng
13534,wiw,wiw
13535,ps when,ps when
13536,apa coba,apa coba
13537,wgen luocha rerun its been month,wgen luocha rerun its been month
13538,tolong buff jing yuan,tolong buff jing yuan
13539,oi tod mentang mentang tau hp gw hp baru iklan youtube di hp gua iklan game mihoyo semua anjinc,oi tod mentang mentang tau hp saya hp baru iklan youtube di hp gua iklan game mihoyo semua anjinc
13540,baik baik game panjang,baik baik game panjang
13541,mantap uiii,mantap uiii
13542,kok saya main tiba tiba forclose dan setiap masuk game tiba tiba patah patah lag mohon di optimalkan lagi padahal saya udah pake helio g,kok saya main tiba tiba forclose dan setiap masuk game tiba tiba patah patah lag mohon di optimalkan lagi padahal saya sudah pake helio tidak
13543,sehat sehat game baik,sehat sehat game baik
13544,masih agak frame saat awal awal login dan juga kadang nge crash saat ingin memasuki battle,masih agak frame saat awal awal login dan juga kadang nge crash saat ingin memasuki battle
13545,sehat game baik,sehat game baik
13546,gila gb,gila gb
13547,ini gem baik,ini game baik
13548,game baik,game baik
13549,,
13550,bintang dua dulu aja aku ngak tahu ini aku baru pertama kali main atau loadingnya lama banget ya dari semalem loh nanti kalo dah bisa main aku naikin lagi rantingnya makasih,bintang dua dulu saja aku tidak tahu ini aku baru pertama kali main atau loadingnya lama sekali ya dari semalem loh nanti kalau sudah bisa main aku naikin lagi rantingnya terima kasih
13551,baru main lagi pas login akun akunnya ko beda jadi akun baru ayolah,baru main lagi ketika login akun akunnya ko beda jadi akun baru ayolah
13552,game nya ramah hadiah melimpah bukan kek game sebelah canda game sebelah,game nya ramah hadiah melimpah bukan seperti game sebelah canda game sebelah
13553,mirip kikir impact,mirip kikir impact
13554,bagusss gamenya i like itttt,bagusss game nya i like itttt
13555,gim china kikir dan tidak hoki akun gweh berada disinih,game china kikir dan tidak hoki akun saya berada disinih
13556,game sampah,game sampah
13557,game yang sangat ramah untuk f p ukuran nya juga tergolong ringan untuk sekelas game rpg grafik hd,game yang sangat ramah untuk f p ukuran nya juga tergolong ringan untuk sekelas game rpg grafik hd
13558,game nya seru,game nya seru
13559,hidupkan firefly hidupkan fire fly,hidupkan firefly hidupkan fire fly
13560,panjang panjang gim baik,panjang panjang game baik
13561,i love this game,i love this game
13562,unduh datanya keluar terus dah gaje bgt,unduh datanya keluar terus sudah gaje sekali
13563,ini gem sangan seru loh,ini game sangan seru loh
13564,game wibu bau basreng,game wibu bau basreng
13565,persis sama yang kuinginkan,persis sama yang kuinginkan
13566,gamenya udah bagus sayadan teman saya juda suka tapi mohon bug nya di hilangin soalnya masih banyak orang yang menggunakan hp untuk bermain game ini danmohon bisa buat online mabar bareng temen biar gak kesepian pas main,game nya sudah bagus sayadan teman saya juda suka tapi mohon bug nya di hilangin soalnya masih banyak orang yang menggunakan hp untuk bermain game ini danmohon bisa buat online mabar bareng temen biar tidak kesepian ketika main
13567,yakali akun newbie gacha ampas x lngsung aku uninstal,yakali akun newbie gacha ampas x lngsung aku uninstal
13568,bagian cutscene nya kurang masih frame drop tolong di perbaiki dev jangan mempermasalahnya spesifikasi soalnya genshin impact yang lebih berat aja cutscene nya masih lancar,bagian cutscene nya kurang masih frame drop tolong di perbaiki dev jangan mempermasalahnya spesifikasi soalnya genshin impact yang lebih berat saja cutscene nya masih lancar
13569,game sering tiba force close pdhl hp sangat memadai,game sering tiba force close pdhl hp sangat memadai
13570,black swan wangy,black swan wangy
13571,ntah kenapa sejak new update launcher aplikasinya sering force close saat download data update alhasil tidak bisa login sama sekali,ntah kenapa sejak new update launcher aplikasinya sering force close saat download data update alhasil tidak bisa login sama sekali
13572,saya sebagai pemain yang baru bermain blm sampai minggu apa benar untuk kapasitas totalnya sampai gb dan setelah saya download full masalah dari pemutusan server dan sering keluar sendiri itu membuat saya gak nyaman bermain mohon developer dicek dan diperbaiki,saya sebagai pemain yang baru bermain belum sampai minggu apa benar untuk kapasitas totalnya sampai gb dan setelah saya download full masalah dari pemutusan server dan sering keluar sendiri itu membuat saya tidak nyaman bermain mohon developer dicek dan diperbaiki
13573,gak bisa offline,tidak bisa offline
13574,good game,good game
13575,aku sukaaak bangeet sama game hsr mulai dri segi cerita dan juga karakternya tapi sayangnya klo dimainin di device aku itu selalu lemot dan grafiknya low bangeet t t jalan lambat latar kosong dll jadi aku harap kedepannya bisa diperbaiki hehe,aku sukaaak bangeet sama game hsr mulai dri segi cerita dan juga karakternya tapi sayangnya kalau dimainin di device aku itu selalu lemot dan grafiknya low bangeet t t jalan lambat latar kosong dll jadi aku harap kedepannya bisa diperbaiki hehe
13576,rate on,rate on
13577,bener bener bagus,bener bener bagus
13578,ini game nya bagus banget kalo aku gabud suka main game ini overall ini udh bagus banget dan omg danheng lo ganteng banget gila sebenarnya semua udh bagus cuman sayang nya ada fitur yang sayangnya gaada di game ini yaitu fitur lompat tolong ditambahin ya fitur loncat atau orang yang main bisa loncat gitu makashii,ini game nya bagus sekali kalau aku gabud suka main game ini overall ini sudah bagus sekali dan omg danheng lo ganteng sekali gila sebenarnya semua sudah bagus cuman sayang nya ada fitur yang sayangnya tidak ada di game ini yaitu fitur lompat tolong ditambahin ya fitur loncat atau orang yang main bisa loncat gitu makashii
13579,ajsjsjaja lumayan bansos nya,ajsjsjaja lumayan bansos nya
13580,terima kasih dapet saya suka,terima kasih dapat saya suka
13581,karena story nanggung and gw dah muak sama drama story death atau ke tusuk mulu kek mau bikin sate kambing aja luuwh bikin story g ada varian laen apa,karena story nanggung and saya sudah muak sama drama story death atau ke tusuk mulu seperti mau buat sate kambing saja luuwh buat story tidak ada varian laen apa
13582,gamenya bagus tetapi mengapa honkai star rail saya tidak bisa saya mainkan bahkan malah ngestuck di layar update dan sering keluar jika sudah terdownload mb,game nya bagus tetapi mengapa honkai star rail saya tidak bisa saya mainkan bahkan malah ngestuck di layar update dan sering keluar jika sudah terdownload mb
13583,hadeh gk di genshin gk di hsr apaan anyink lu benci bet ama gw hoyoverse masa kalo mau dptin character harus puti baru dpt b anyink apalagi kalo rate off butuh tiket bangst buat character limited hadeh benci bet lu ama gw sehat game baik gw ttp rating lu b kok,hadeh tidak di genshin tidak di hsr apa anyink kamu benci bet ama saya hoyoverse masa kalau mau dptin character harus puti baru dapat b anyink apalagi kalau rate off butuh tiket bangst buat character limited hadeh benci bet kamu ama saya sehat game baik saya ttp rating kamu b kok
13584,game baik,game baik
13585,mantab,mantab
13586,mami kafka wangy,mami kafka wangy
13587,gamenya sudah bagus tapi bagus nya bagus bagus itu nya bagus pokoknya bagus,game nya sudah bagus tapi bagus nya bagus bagus itu nya bagus pokoknya bagus
13588,optimize the cutsceeeeen if you want your game playable in mobile optimize the size,optimize the cutsceeeeen if you want your game playable in mobile optimize the size
13589,,
13590,game jembut masa udah download disuruh download lagi sih mana gede banget,game jembut masa sudah download disuruh download lagi sih mana gede sekali
13591,best rpg turn based game,best rpg turn based game
13592,game ya udh bagus tapi pas awal mau main itu loading ya lama bgt sampe saya greget tolong diusahain loading ya cepet maaf klo ketikan saya membuat anda tidak nyaman,game ya sudah bagus tapi ketika awal mau main itu loading ya lama sekali sampe saya greget tolong diusahain loading ya cepet maaf kalau ketikan saya membuat anda tidak nyaman
13593,hoyoverse aku hanya ingin satu keinginan saja balikin firefly ke aku itu saja,hoyoverse aku hanya ingin satu keinginan saja balikin firefly ke aku itu saja
13594,ini kenapa kok error terus dari jam pagi tadi halooo ini tolong jelasin error nya kenapa,ini kenapa kok error terus dari jam pagi tadi halooo ini tolong jelasin error nya kenapa
13595,mancamanabang,mancamanabang
13596,bagus,bagus
13597,gameny bgus aksi turn base ny gmpng dipahami grafikny bgus terlebih lg grafik rendahny di laptop msih bgus bgt serasa tidak turun grafik selebihny msih bgus suma saran aj planarny dibuat lebih gampang dicari agar player yg msih new bisa nyari gmpng di awal game,gameny bgus aksi turn base nya gmpng dipahami grafikny bgus terlebih lagi grafik rendahny di laptop msih bgus sekali serasa tidak turun grafik selebihny msih bgus suma saran aj planarny dibuat lebih mudah dicari agar player yang msih new bisa mencari gmpng di awal game
13598,padahal tadi udah bahagia main game ini tapi awalnya update itu cuma jam pas ke update tapi udah berjam jam terus gbnya besar tolong di perbaiki lagi yang bagian update sama gbnya di kecilin,padahal tadi sudah bahagia main game ini tapi awalnya update itu cuma jam ketika ke update tapi sudah berjam jam terus gbnya besar tolong di perbaiki lagi yang bagian update sama gbnya di kecilin
13599,design characternya terbaik storynya bagus bgt animasi ultimatenya juga terbaik event nya juga banyak sejauh ini hsr jadi game terbaik yg pernah ku coba,design characternya terbaik storynya bagus sekali animasi ultimatenya juga terbaik event nya juga banyak sejauh ini hsr jadi game terbaik yang pernah ku coba
13600,halo game baik,halo game baik
13601,overall is good but lately the game keep force close and its starting to annoys me,overall is good but lately the game keep force close and its starting to annoys me
13602,kenapa loadingnya tuh lama,kenapa loadingnya tuh lama
13603,ini game atau video apdetnya lama banget sampai kuota abis mohon di perbaiki,ini game atau video apdetnya lama sekali sampai kuota abis mohon di perbaiki
13604,gamenya bagus grafik juga bagus tapi lodingnya lama sama biasanya keluar sendiri,game nya bagus grafik juga bagus tapi lodingnya lama sama biasanya keluar sendiri
13605,game yg sangat seru,game yang sangat seru
13606,aduh game nya not recomend ya apalagi kalo pake hp di bawah ram gb ini game data base nya tidak seimbang jadi membuat permainan tidak stabil kendala yang sering terjadi keluar secara paksa dari permainan bug dari grafik sering terjadinya eror ketika quest apakah pihak pengembang berniat memperbaiki masalah nya atau hanya akan fokus terhadap pemain pc dan pemain android akan di biarkan,aduh game nya not recomend ya apalagi kalau pake hp di bawah ram gb ini game data base nya tidak seimbang jadi membuat permainan tidak stabil kendala yang sering terjadi keluar secara paksa dari permainan bug dari grafik sering terjadinya eror ketika quest apakah pihak pengembang berniat memperbaiki masalah nya atau hanya akan fokus terhadap pemain pc dan pemain android akan di biarkan
13607,panjang umur game baik,panjang umur game baik
13608,aku kasi bintang empat soal sering terkeluar sendiri padahal lagi asik main,aku kasih bintang empat soal sering terkeluar sendiri padahal lagi asik main
13609,game baik keren dan ga pelit,game baik keren dan tidak pelit
13610,game populer saran pertahankan kualitas grafis game,game populer saran pertahankan kualitas grafis game
13611,di genshin tidak begini,di genshin tidak begini
13612,nyoba dikit,nyoba dikit
13613,ramah f p cukup stabil performanya untuk full size gb,ramah f p cukup stabil performanya untuk full size gb
13614,untuk gamenya sudah bagus tapi yang saya kecewakan adalah terlalu sering disconnect padahal jaringan sudah mbps tolong ditingkatkan lagi,untuk game nya sudah bagus tapi yang saya kecewakan adalah terlalu sering disconnect padahal jaringan sudah mbps tolong ditingkatkan lagi
13615,hidup kafka tobrut,hidup kafka tobrut
13616,tolong baik ini mah ngasih relic jangan busuk busuk enchance juga sama busuknya,tolong baik ini mah memberi relic jangan busuk busuk enchance juga sama busuknya
13617,lama buat main game bisa sampe menit cuma buat main game itu doang,lama buat main game bisa sampe menit cuma buat main game itu doang
13618,sehat sehat gem baik,sehat sehat game baik
13619,bagus,bagus
13620,ada bug yang cukup kurang menyenangkan seperti terjebak didalam tangga di simulated univers swarm disaster dan terjadi cukup sering,ada bug yang cukup kurang menyenangkan seperti terjebak didalam tangga di simulated univers swarm disaster dan terjadi cukup sering
13621,the best tapi akhir akhir ini setelah update sering keluar sendiri mohon solusinya,the best tapi akhir akhir ini setelah update sering keluar sendiri mohon solusinya
13622,ketika cutscene frame langsung drop aneh bgt pdhl pas main lancar setelah update makin parah malah sering force close,ketika cutscene frame langsung drop aneh sekali pdhl ketika main lancar setelah update makin parah malah sering force close
13623,ini kenapa yah sering force close dahal belum main sejam udh gitu apa karna lagi ngebug kah main genshin berjam jam aja gk gitu,ini kenapa yah sering force close dahal belum main sejam sudah gitu apa karna lagi terjadi bug kah main genshin berjam jam saja tidak gitu
13624,story terbaru sangat menarik,story terbaru sangat menarik
13625,game nya bagus dan tolong munculkan fitur online atau multiplayer,game nya bagus dan tolong munculkan fitur online atau multiplayer
13626,game bagus tapi ukuran datanya terlalu besar,game bagus tapi ukuran datanya terlalu besar
13627,game yang bagus secara story grafik juga gameplaynya mudah dipahami,game yang bagus secara story grafik juga gameplaynya mudah dipahami
13628,lumayan bagus bisa free to play dan eventnya tidak terlalu susah tapi saya terkena bug seperti layar banyak semut nya dan force close sendiri,lumayan bagus bisa free to play dan eventnya tidak terlalu susah tapi saya terkena bug seperti layar banyak semut nya dan force close sendiri
13629,terima kasih game baik,terima kasih game baik
13630,babi hp gua gak kuat lagi main game ini,babi hp gua tidak kuat lagi main game ini
13631,ini buat yg suara kresek kresek dan patah patah banget itu kualitas hp lu hp lu tu banyak memori kalo gk salah,ini buat yang suara kresek kresek dan patah patah sekali itu kualitas hp kamu hp kamu tu banyak memori kalau tidak salah
13632,game baik teruslah jadi baik,game baik teruslah jadi baik
13633,gamr rusak sering force close pas battle,gamr rusak sering force close ketika battle
13634,maaf min menganggu saya udh level mentok lv ya gpp gak ada hadiah lagi cuma bisa tidak saya minta tolong update kan movie ulang misi utama nya semua min saya lihat di honkai impact bisa kita nonton ulang lagi biar gak bosen dan gak lupa kita sama jalan ceritanya min bisa tidak ya min maaf merepotkan ya,maaf min menganggu saya sudah level mentok lv ya gpp tidak ada hadiah lagi cuma bisa tidak saya minta tolong update kan movie ulang misi utama nya semua min saya lihat di honkai impact bisa kita nonton ulang lagi biar tidak bosan dan tidak lupa kita sama jalan ceritanya min bisa tidak ya min maaf merepotkan ya
13635,game baik,game baik
13636,saatnya pensiun udah terlalu lelah kalo harus gacha karakter limit tiket,saatnya pensiun sudah terlalu lelah kalau harus gacha karakter limit tiket
13637,game ini terlalu baik tidak seperti game sebelah,game ini terlalu baik tidak seperti game sebelah
13638,ntah,ntah
13639,waifuku mati,waifuku mati
13640,game baik,game baik
13641,gamenya bagus cuma kadang pas mau masuk pertempuran suka keluar sendiri jadinya harus loading gamenya dari awal lagi,game nya bagus cuma kadang ketika mau masuk pertempuran suka keluar sendiri jadinya harus loading game nya dari awal lagi
13642,saya setiap ingin memulai fight terkadang sering forced close mohon di perbaiki,saya setiap ingin memulai fight terkadang sering forced close mohon di perbaiki
13643,panjang panjang game baik,panjang panjang game baik
13644,saya suka king yuan salam dari loufu,saya suka king yuan salam dari loufu
13645,well gua suka gamenya mulai dari story quest terus mekanik gamenya semuanya bagus reward yang di tawarkan juga lebih bagus daripada anak sebelah tapi kayaknya cukup sampai hari ini saja handphone gua udah gak bisa lagi main ini game udah berat sizenya kalau udah ganti handphone gua pasti bakal main ini game lagi so i hove this game it will be even better when i comeback,well gua suka game nya mulai dari story quest terus mekanik game nya semuanya bagus reward yang di tawarkan juga lebih bagus daripada anak sebelah tapi kayaknya cukup sampai hari ini saja handphone gua sudah tidak bisa lagi main ini game sudah berat sizenya kalau sudah ganti handphone gua pasti bakal main ini game lagi so i hove this game it will be even better when i comeback
13646,shaoji anjng,shaoji anjng
13647,aku menyukainya,aku menyukainya
13648,tetap menjadi game favorit no untuk genre rpg yg dimainkan sampai sekarang story mantap design karakter keren dan yg penting tdk kikir kyk kakak nya,tetap menjadi game favorit no untuk genre rpg yang dimainkan sampai sekarang story mantap design karakter keren dan yang penting tidak kikir seperti kakak nya
13649,terimakasih game baik,terimakasih game baik
13650,game baik banyak rewardnya minusnya waifu pada mati semua,game baik banyak rewardnya minusnya waifu pada mati semua
13651,seruu,seruu
13652,gacor kang,gacor kang
13653,masuk nya lama tapi waifi g ngelek,masuk nya lama tapi waifi tidak ngelek
13654,makasih game baik,terima kasih game baik
13655,gim baik tapi game turn base gacha tuh emg berat karena yang namanya turn base itu pasti musuhnya bermacam tipe nah buat nye imbangi lawan musuh jadi perlu tipe yang sesuai dan caranya ya gacha character wkwkwk,game baik tapi game turn base gacha tuh memang berat karena yang namanya turn base itu pasti musuhnya bermacam tipe nah buat nye imbangi lawan musuh jadi perlu tipe yang sesuai dan caranya ya gacha character wkwkwk
13656,kecewa gak bisa masuk ke game nya eror terus,kecewa tidak bisa masuk ke game nya eror terus
13657,sumpah game ini game jelek banget sumpah masa pas baru masuk langsung ada perjanjian apa gitu sama kaya di genshin impact gamenya perjanjian juga nanti kalo udah diilangin perjanjian itu nanti aku download lagu deh,sumpah game ini game jelek sekali sumpah masa ketika baru masuk langsung ada perjanjian apa gitu sama kaya di genshin impact game nya perjanjian juga nanti kalau sudah diilangin perjanjian itu nanti aku download lagu deh
13658,game ini lama banget untuk masuk dan memulai game aku yg kemaren mau main malah lama banget padahal udah mengupdate lama lama tapi tetep aja gak dibuka ditingkatin lagi ya,game ini lama sekali untuk masuk dan memulai game aku yang kemaren mau main malah lama sekali padahal sudah mengupdate lama lama tapi tetep saja tidak dibuka ditingkatin lagi ya
13659,ini game loding nya lama,ini game loding nya lama
13660,game baik,game baik
13661,keren,keren
13662,baguss,baguss
13663,nice,nice
13664,gamenya serius itu pengen download lagu jangan tipu kalau aku pengen download game yang seru selalu aja dia mau jadi mau download aku download itu aku jadi ketagihan mainnya sampai setiap hari aku main game ini,game nya serius itu pengen download lagu jangan tipu kalau aku pengen download game yang seru selalu saja dia mau jadi mau download aku download itu aku jadi ketagihan mainnya sampai setiap hari aku main game ini
13665,terimakasih game baik,terimakasih game baik
13666,raja bansos,raja bansos
13667,terimakasih game baik,terimakasih game baik
13668,mantap banget ini game di update map baru pasti ada mechanic baru yg bikin nggak bosen apalagi hadiah nya gas lah bintang,mantap sekali ini game di update map baru pasti ada mechanic baru yang buat tidak bosan apalagi hadiah nya gas lah bintang
13669,pas masuk sih emng loading ampe sejam tapi pas besok sya main ini disuruh mengunduh data lagi pas udh mengunduh keluar game dan pas sya coba masuk lagi mengunduh lagi berulang ulang sya coba begitu lagi begitu lagi,ketika masuk sih emng loading sampai sejam tapi ketika besok saya main ini disuruh mengunduh data lagi ketika sudah mengunduh keluar game dan ketika saya coba masuk lagi mengunduh lagi berulang ulang saya coba begitu lagi begitu lagi
13670,untuk gamenya udh bagus dari segi story juga udh lumayan ramah f p menurut saya cuma masih ada beberapa bug untuk sebagian hp seperti dinding yang menghilang lantai yang menghilang gameplay yang lag atau patah patah animation yang patah patah walau grafik sudah dikecilkan sampai tingkat yang terendah tetap tidak ada perubahan saya harap ini hanya sekedar bug saja dan akan segera di fix terimakasih,untuk game nya sudah bagus dari segi story juga sudah lumayan ramah f p menurut saya cuma masih ada beberapa bug untuk sebagian hp seperti dinding yang menghilang lantai yang menghilang game play yang lag atau patah patah animation yang patah patah walau grafik sudah dikecilkan sampai tingkat yang terendah tetap tidak ada perubahan saya harap ini hanya sekedar bug saja dan akan segera di fix terimakasih
13671,gamenya bagus dan seru tidak seperti game sebelah yang kikir itu ama pelit,game nya bagus dan seru tidak seperti game sebelah yang kikir itu ama pelit
13672,stelle cantik,stelle cantik
13673,game nya menarik aku suka gamplay nya juga bagus jan lupa buat game lagi yh,game nya menarik aku suka game play nya juga bagus jan lupa buat game lagi yh
13674,game sudah bagus tapi kalo bisa adain coop di game ini,game sudah bagus tapi kalau bisa adakan coop di game ini
13675,bagus tapi lain kali harus di bagus in lagi yaa,bagus tapi lain kali harus di bagus in lagi yaa
13676,gem nya siluper keren,game nya siluper keren
13677,saya sebenarnya cinta sekali dengan game ini tapi saya mohon pihak mihoyo tolong optimalkan game ini di infinix note saya main game ini lancar saja tidak ada lag tapi terkadang suka force close tanpa sebab dan untuk login kerap kali gagal dan harus menutup tap gamenya dan masuk lagi untuk berhasil saya sangat merasa tidak nyaman terlebih saya sangat menyukai game ini,saya sebenarnya cinta sekali dengan game ini tapi saya mohon pihak mihoyo tolong optimalkan game ini di infinix note saya main game ini lancar saja tidak ada lag tapi terkadang suka force close tanpa sebab dan untuk login kerap kali gagal dan harus menutup tap game nya dan masuk lagi untuk berhasil saya sangat merasa tidak nyaman terlebih saya sangat menyukai game ini
13678,bagus aja gamenya rata game rpg anime open world tapi yang ngeselinnya buat player mobile yg spek hpnya menengah kebawah itu ngeselin banget kalo mau download bahasa lain soalnya kalo pas buka apk lain pas matiin hpnya pasti kestop kalo gak kereset ini tolong dibenerin lah saya juga mau nikmatin yg bahasa yg lain juga,bagus saja game nya rata game rpg anime open world tapi yang ngeselinnya buat player mobile yang spek hpnya menengah kebawah itu ngeselin sekali kalau mau download bahasa lain soalnya kalau ketika buka aplikasi lain ketika mematikan hpnya pasti kestop kalau tidak kereset ini tolong dibenerin lah saya juga mau nikmatin yang bahasa yang lain juga
13679,panjang umur game baik,panjang umur game baik
13680,game baik,game baik
13681,masterpiece,masterpiece
13682,game ramah,game ramah
13683,terima kasih game baik,terima kasih game baik
13684,grafisnya yang memukau gameplay yang seru dan cerita yang mendalam beragam karakter dengan desain yang menarik dan kemampuan unik sistem pertarungan yang strategis dan banyaknya konten juga membuatnya menarik untuk dimainkan overall honkai star rail menawarkan pengalaman gaming yang memuaskan dan layak dicoba,grafisnya yang memukau game play yang seru dan cerita yang mendalam beragam karakter dengan desain yang menarik dan kemampuan unik sistem pertarungan yang strategis dan banyaknya konten juga membuatnya menarik untuk dimainkan overall honkai star rail menawarkan pengalaman gaming yang memuaskan dan layak dicoba
13685,demi love banget hsr beberapa kali aku tuh off lama tapi selalu di buat excited soal update an nya karakter baru atau pun event baru terus juga hadiah nya banyakkk sebagai pemain f p aku suka bangettt,demi love sekali hsr beberapa kali aku tuh off lama tapi selalu di buat excited soal update an nya karakter baru atau pun event baru terus juga hadiah nya banyakkk sebagai pemain f p aku suka bangettt
13686,masih ada beberapa bug,masih ada beberapa bug
13687,untuk penggemar turn base menurut gua mantap banget sihhh sama bansosnya banyak banget panjang umur game baik,untuk penggemar turn base menurut gua mantap sekali sihhh sama bansosnya banyak sekali panjang umur game baik
13688,gim baik gk kek sebelah kikir,game baik tidak seperti sebelah kikir
13689,saya kasih bintang satu dulu soalnya baru mulai download ulang sudah ada banyak masalah mulai dari ngelag suara yg kresek sampai glicth grafis yg membuat backgroundnya hilang jadi tolong diperbaiki secepatnya dan kalau bisa kasih solusinya dong,saya kasih bintang satu dulu soalnya baru mulai download ulang sudah ada banyak masalah mulai dari ngelag suara yang kresek sampai glicth grafis yang membuat backgroundnya hilang jadi tolong diperbaiki secepatnya dan kalau bisa kasih solusinya dong
13690,turn base my fav gameplay,turn base my fav game play
13691,seru banget tapi pls kalau update lagi download datanya di dalam gamenya aja masalahnya wifiku spek kukang,seru sekali tapi please kalau update lagi download datanya di dalam game nya saja masalahnya wifiku spek kukang
13692,,
13693,game baik,game baik
13694,untuk story nya aku kasih bintang best story,untuk story nya aku kasih bintang best story
13695,bagus sekali game nya,bagus sekali game nya
